datetime,feed_flow,product_flow,reject_flow,temperature,feed_cond,reject_cond,product_cond,feed_ph,orp,reject_ph,product_ph,pressure_drop,feed_pressure,hpp_pressure,cf_pressure
Thu Apr 04 2019 12:00:00 GMT+0530,235,83.98,151,27.24,62623,88961,621,7.66,-16.67,7.72,6.57,,62.61,32.67,2.85
Thu Apr 04 2019 13:00:00 GMT+0530,235,83.26,152,27.36,62694,88971,631,7.64,-16.86,7.73,6.59,,62.59,32.6,2.83
Thu Apr 04 2019 14:00:00 GMT+0530,235,83.26,152,27.36,62694,88971,631,7.64,-16.86,7.73,6.59,,62.59,32.6,2.83
Thu Apr 04 2019 15:00:00 GMT+0530,235,83.33,151,27.56,62551,88752,636,7.68,-16.94,7.75,6.62,,62.49,32.64,2.85
Thu Apr 04 2019 16:00:00 GMT+0530,235,83.33,151,27.56,62551,88752,636,7.68,-16.94,7.75,6.62,,62.49,32.64,2.85
Thu Apr 04 2019 17:00:00 GMT+0530,235,83.38,150,27.77,62451,88762,643,7.68,-16.99,7.75,6.66,,62.46,32.65,2.86
Thu Apr 04 2019 18:00:00 GMT+0530,235,83.38,150,27.77,62451,88762,643,7.68,-16.99,7.75,6.66,,62.46,32.65,2.86
Thu Apr 04 2019 19:00:00 GMT+0530,235,84.23,152,27.83,62483,88810,648,7.67,-16.9,7.77,6.69,,62.5,32.63,2.87
Thu Apr 04 2019 20:00:00 GMT+0530,235,84.23,152,27.83,62483,88810,648,7.67,-16.9,7.77,6.69,,62.5,32.63,2.87
Thu Apr 04 2019 21:00:00 GMT+0530,235,83.67,151,27.68,62542,88961,642,7.68,-16.94,7.76,6.68,,62.49,32.66,2.88
Thu Apr 04 2019 22:00:00 GMT+0530,235,83.67,151,27.68,62542,88961,642,7.68,-16.94,7.76,6.68,,62.49,32.66,2.88
Thu Apr 04 2019 23:00:00 GMT+0530,235,83.23,148,27.71,62574,88985,636,7.68,-16.9,7.76,6.65,,62.52,32.68,2.88
Fri Apr 05 2019 00:00:00 GMT+0530,235,83.23,148,27.71,62574,88985,636,7.68,-16.9,7.76,6.65,,62.52,32.68,2.88
Fri Apr 05 2019 01:00:00 GMT+0530,235,83.21,150,27.6,62597,88971,632,7.67,-16.81,7.75,6.6,,62.52,32.68,2.88
Fri Apr 05 2019 02:00:00 GMT+0530,235,83.21,150,27.6,62597,88971,632,7.67,-16.81,7.75,6.6,,62.52,32.68,2.88
Fri Apr 05 2019 03:00:00 GMT+0530,235,83.6,151,27.65,62652,89034,630,7.66,-16.85,7.74,6.57,,62.54,32.67,2.88
Fri Apr 05 2019 04:00:00 GMT+0530,235,83.6,151,27.65,62652,89034,630,7.66,-16.85,7.74,6.57,,62.54,32.67,2.88
Fri Apr 05 2019 05:00:00 GMT+0530,235,83.96,151,27.5,62659,88990,627,7.62,-16.81,7.73,6.57,,62.57,32.66,2.88
Fri Apr 05 2019 06:00:00 GMT+0530,235,83.96,151,27.5,62659,88990,627,7.62,-16.81,7.73,6.57,,62.57,32.66,2.88
Fri Apr 05 2019 07:00:00 GMT+0530,235,83.37,151,27.42,62704,88927,624,7.64,-16.62,7.74,6.54,,62.59,32.66,2.86
Fri Apr 05 2019 08:00:00 GMT+0530,235,83.37,151,27.42,62704,88927,624,7.64,-16.62,7.74,6.54,,62.59,32.66,2.86
Fri Apr 05 2019 09:00:00 GMT+0530,235,82.12,150,27.46,62668,88912,622,7.64,-16.67,7.73,6.55,,62.59,32.67,2.87
Fri Apr 05 2019 10:00:00 GMT+0530,235,82.12,150,27.46,62668,88912,622,7.64,-16.67,7.73,6.55,,62.59,32.67,2.87
Fri Apr 05 2019 11:00:00 GMT+0530,231,80.98,152,27.45,62668,88338,651,7.63,-16.62,7.73,6.55,,61.72,31.91,2.04
Fri Apr 05 2019 12:00:00 GMT+0530,231,80.98,152,27.45,62668,88338,651,7.63,-16.62,7.73,6.55,,61.72,31.91,2.04
Fri Apr 05 2019 13:00:00 GMT+0530,236,83.41,163,27.63,62840,90691,669,7.65,-16.99,7.72,6.55,,62.98,32.98,3.14
Fri Apr 05 2019 14:00:00 GMT+0530,236,83.41,163,27.63,62840,90691,669,7.65,-16.99,7.72,6.55,,62.98,32.98,3.14
Fri Apr 05 2019 21:00:00 GMT+0530,234,83.24,148,27.7,62441,87408,556,7.65,-16.95,7.72,6.7,0.71,62.18,32.42,3.06
Fri Apr 05 2019 22:00:00 GMT+0530,234,83.24,148,27.7,62441,87408,556,7.65,-16.95,7.72,6.7,0.71,62.18,32.42,3.06
Fri Apr 05 2019 23:00:00 GMT+0530,234,82.67,151,27.72,62409,89253,699,7.66,-16.62,7.72,6.68,0.71,62.17,32.42,3.06
Sat Apr 06 2019 00:00:00 GMT+0530,234,82.67,151,27.72,62409,89253,699,7.66,-16.62,7.72,6.68,0.71,62.17,32.42,3.06
Sat Apr 06 2019 01:00:00 GMT+0530,234,82.63,150,27.91,62782,91414,722,7.65,-16.76,7.72,6.67,0.72,62.31,32.37,3.06
Sat Apr 06 2019 02:00:00 GMT+0530,234,82.63,150,27.91,62782,91414,722,7.65,-16.76,7.72,6.67,0.72,62.31,32.37,3.06
Sat Apr 06 2019 03:00:00 GMT+0530,234,82.53,150,27.9,62771,91201,709,7.66,-16.78,7.72,6.68,0.72,62.33,32.38,3.07
Sat Apr 06 2019 04:00:00 GMT+0530,234,82.53,150,27.9,62771,91201,709,7.66,-16.78,7.72,6.68,0.72,62.33,32.38,3.07
Sat Apr 06 2019 05:00:00 GMT+0530,234,82.32,149,27.88,62762,92139,704,7.68,-16.81,7.72,6.69,0.72,62.34,32.39,3.08
Sat Apr 06 2019 06:00:00 GMT+0530,234,82.32,149,27.88,62762,92139,704,7.68,-16.81,7.72,6.69,0.72,62.34,32.39,3.08
Sat Apr 06 2019 07:00:00 GMT+0530,234,82.93,151,27.82,62821,92056,689,7.67,-16.67,7.73,6.69,0.96,62.36,32.45,3.08
Sat Apr 06 2019 08:00:00 GMT+0530,234,82.93,151,27.82,62821,92056,689,7.67,-16.67,7.73,6.69,0.96,62.36,32.45,3.08
Sat Apr 06 2019 09:00:00 GMT+0530,234,82.68,152,27.8,62830,81778,677,7.66,-16.89,7.7,6.68,0.96,62.4,32.36,3.07
Sat Apr 06 2019 10:00:00 GMT+0530,234,82.68,152,27.8,62830,81778,677,7.66,-16.89,7.7,6.68,0.96,62.4,32.36,3.07
Sat Apr 06 2019 11:00:00 GMT+0530,234,82.54,148,27.88,61977,81827,678,7.66,-16.75,7.71,6.65,0.96,62.41,32.41,3.03
Sat Apr 06 2019 12:00:00 GMT+0530,234,82.54,148,27.88,61977,81827,678,7.66,-16.75,7.71,6.65,0.96,62.41,32.41,3.03
Sat Apr 06 2019 13:00:00 GMT+0530,232,80.41,150,27.88,61987,81504,678,7.66,-16.81,7.71,6.8,0.96,62.02,32.03,2.68
Sat Apr 06 2019 14:00:00 GMT+0530,232,80.41,150,27.88,61987,81504,678,7.66,-16.81,7.71,6.8,0.96,62.02,32.03,2.68
Sat Apr 06 2019 15:00:00 GMT+0530,233,81.56,148,27.95,61555,80227,679,7.67,-16.678,7.7,6.66,0.96,61.45,32,2.67
Sat Apr 06 2019 16:00:00 GMT+0530,233,81.56,148,27.95,61555,80227,679,7.67,-16.678,7.7,6.66,0.96,61.45,32,2.67
